position			Title			Directors			IMDb_Rating			Year			actor/actress1			actor/actress2			actor/actress3			actor/actress4			box_office			budget
63			Unforgiven			Clint_Eastwood			8.3			1992			Clint_Eastwood			Gene_Hackman			Morgan_Freeman			Richard_Harris			101157447			14400000
64			The_General			John_Boorman			7.3			1998			Brendan_Gleeson			Adrian_Dunbar			Sean_McGinley			Maria_Doyle_Kennedy			1211865			286365
66			Drive			Nicolas_Winding_Refn			7.8			2011			Ryan_Gosling			Carey_Mulligan			Bryan_Cranston			Albert_Brooks			35054909			15000000
68			Forrest_Gump			Robert_Zemeckis			8.8			1994			Tom_Hanks			Robin_Wright			Gary_Sinise			Sally_Field			15803823			55000000
69			Glengarry_Glen_Ross			James_Foley			7.8			1992			Al_Pacino			Jack_Lemmon			Alec_Baldwin			Alan_Arkin			10725228			12500000
76			Eternal_Sunshine_of_the_Spotless_Mind			Michel_Gondry			8.4			2004			Jim_Carrey			Kate_Winslet			Tom_Wilkinson			Gerry_Robert_Byrne			34126138			20000000
78			Go			Doug_Liman			7.3			1999			Sarah_Polley			Jay_Mohr			Scott_Wolf			Taye_Diggs			16842303			6500000
79			Batman_Begins			Christopher_Nolan			8.3			2005			Christian_Bale			Michael_Caine			Ken_Watanabe			Liam_Neeson			205343774			150000000
82			The_Lord_of_the_Rings:_The_Return_of_the_King			Peter_Jackson			8.9			2003			Elijah_Wood			Viggo_Mortensen			Ian_McKellen			Orlando_Bloom			377019252			94000000
83			Terminator_2:_Judgment_Day			James_Cameron			8.5			1991			Arnold_Schwarzenegger			Linda_Hamilton			Edward_Furlong			Robert_Patrick			204843350			102000000
84			Toy_Story_2			John_Lasseter			7.9			1999			Tom_Hanks			Tim_Allen			Joan_Cusack			Kelsey_Grammer			245852179			90000000
85			Saving_Private_Ryan			Steven_Spielberg			8.6			1998			Tom_Hanks			Matt_Damon			Tom_Sizemore			Edward_Burns			216119491			70000000
86			Desperado			Robert_Rodriguez			7.2			1995			Antonio_Banderas			Salma_Hayek			Joaquim_de_Almeida			Cheech_Marin			25625110			7000000
88			Saw			James_Wan			7.7			2004			Cary_Elwes			Leigh_Whannell			Danny_Glover			Ken_Leung			172993			1200000
90			Bowling_for_Columbine			Michael_Moore			8			2002			Michael_Moore			Charlton_Heston			Marilyn_Manson			Salvador_Allende			21244913			4000000
91			Man_on_Fire			Tony_Scott			7.7			2004			Denzel_Washington			Christopher_Walken			Dakota_Fanning			Radha_Mitchell			77862546			70000000
92			Almost_Famous			Cameron_Crowe			7.9			2000			Billy_Crudup			Patrick_Fugit			Kate_Hudson			Frances_McDormand			32522352			60000000
93			High_Fidelity			Stephen_Frears			7.6			2000			John_Cusack			Iben_Hjejle			Todd_Louiso			Jack_Black			27277055			20000000
94			Django_Unchained			Quentin_Tarantino			8.5			2012			Jamie_Foxx			Christoph_Waltz			Leonardo_DiCaprio			Kerry_Washington			162804648			100000000
97			Minority_Report			Steven_Spielberg			7.7			2002			Tom_Cruise			Colin_Farrell			Samantha_Morton			Max_von_Sydow			15916084			102000000
98			The_Lord_of_the_Rings:_The_Two_Towers			Peter_Jackson			8.7			2002			Elijah_Wood			Ian_McKellen			Viggo_Mortensen			Orlando_Bloom			342551365			94000000
100			The_Social_Network			David_Fincher			7.8			2010			Jesse_Eisenberg			Andrew_Garfield			Justin_Timberlake			Rooney_Mara			96917897			40000000
101			American_Psycho			Mary_Harron			7.6			2000			Christian_Bale			Justin_Theroux			Josh_Lucas			Bill_Sage			15070285			7000000
102			Men_in_Black			Barry_Sonnenfeld			7.3			1997			Tommy_Lee_Jones			Will_Smith			Linda_Fiorentino			Vincent_D'Onofrio			250147615			90000000
103			No_Country_for_Old_Men			Ethan_Coen			8.1			2007			Tommy_Lee_Jones			Javier_Bardem			Josh_Brolin			Woody_Harrelson			74273505			25000000
105			There_Will_Be_Blood			Paul_Thomas_Anderson			8.1			2007			Daniel_Day-Lewis			Paul_Dano			Ciar¨¢n_Hinds			Martin_Stringer			40218903			25000000
106			JFK			Oliver_Stone			8			1991			Kevin_Costner			Gary_Oldman			Jack_Lemmon			Walter_Matthau			70405498			40000000
107			King_Kong			Peter_Jackson			7.3			2005			Naomi_Watts			Jack_Black			Adrien_Brody			Thomas_Kretschmann			218051260			207000000
109			The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring			Peter_Jackson			8.8			2001			Elijah_Wood			Ian_McKellen			Orlando_Bloom			Sean_Bean			36116967			93000000
110			Kill_Bill:_Vol._1			Quentin_Tarantino			8.1			2003			Uma_Thurman			David_Carradine			Daryl_Hannah			Michael_Madsen			70098138			30000000
111			The_Silence_of_the_Lambs			Jonathan_Demme			8.6			1991			Jodie_Foster			Anthony_Hopkins			Lawrence_A._Bonney			Kasi_Lemmons			130742922			19000000
113			This_Is_England			Shane_Meadows			7.7			2006			Thomas_Turgoose			Stephen_Graham			Jo_Hartley			Andrew_Shim			207676			1500000
115			Children_of_Men			Alfonso_CuarÃ³n			7.9			2006			Julianne_Moore			Clive_Owen			Chiwetel_Ejiofor			Michael_Caine			35286428			76000000
116			In_the_Name_of_the_Father			Jim_Sheridan			8.1			1993			Daniel_Day-Lewis			Pete_Postlethwaite			Alison_Crosbie			Philip_King			25010410			13000000
117			American_History_X			Tony_Kaye			8.6			1998			Edward_Norton			Edward_Furlong			Beverly_D'Angelo			Jennifer_Lien			6712241			7500000
118			Twelve_Monkeys			Terry_Gilliam			8.1			1995			Bruce_Willis			Madeleine_Stowe			Brad_Pitt			Joseph_Melito			57141459			29000000
123			The_Wolf_of_Wall_Street			Martin_Scorsese			8.2			2013			Leonardo_DiCaprio			Jonah_Hill			Margot_Robbie			Matthew_McConaughey			116866727			100000000
124			Road_to_Perdition			Sam_Mendes			7.7			2002			Tom_Hanks			Tyler_Hoechlin			Rob_Maxey			Liam_Aiken			40935560			80000000
125			Up			Pete_Docter			8.3			2009			Edward_Asner			Jordan_Nagai			John_Ratzenberger			Christopher_Plummer			293004164			175000000
126			Natural_Born_Killers			Oliver_Stone			7.3			1994			Woody_Harrelson			Juliette_Lewis			Tom_Sizemore			Rodney_Dangerfield			50282766			34000000
127			Out_of_Sight			Steven_Soderbergh			7.1			1998			George_Clooney			Jennifer_Lopez			Ving_Rhames			Steve_Zahn			37339525			48000000
129			Interview_with_the_Vampire:_The_Vampire_Chronicles			Neil_Jordan			7.6			1994			Brad_Pitt			Tom_Cruise			Antonio_Banderas			Kirsten_Dunst			105264608			60000000
130			Things_to_Do_in_Denver_When_You're_Dead			Gary_Fleder			6.8			1995			Andy_Garcia			Christopher_Walken			Christopher_Lloyd			William_Forsythe			529766			7000000
131			The_Bourne_Identity			Doug_Liman			7.9			2002			Franka_Potente			Matt_Damon			Chris_Cooper			Clive_Owen			121661683			60000000
132			Little_Miss_Sunshine			Jonathan_Dayton			7.9			2006			Steve_Carell			Toni_Collette			Greg_Kinnear			Abigail_Breslin			59889948			8000000
133			Carlito's_Way			Brian_De_Palma			7.9			1993			Al_Pacino			Sean_Penn			Penelope_Ann_Miller			John_Leguizamo			36948322			30000000
134			Casino_Royale			Martin_Campbell			8			2006			Daniel_Craig			Eva_Green			Judi_Dench			Jeffrey_Wright			167007184			150000000
138			Ocean's_Eleven			Steven_Soderbergh			7.8			2001			George_Clooney			Brad_Pitt			Julia_Roberts			Matt_Damon			183405771			85000000
139			Amores_perros			Alejandro_GonzÃ¡lez_IÃ±Ã¡rritu			8.1			2000			Emilio_Echevarr¨ªa			Gael_Garc¨ªa_Bernal			Goya_Toledo			lvaro_Guerrero			5383834			2000000
140			Borat:_Cultural_Learnings_of_America_for_Make_Benefit_Glorious_Nation_of_Kazakhstan			Larry_Charles			7.3			2006			Sacha_Baron_Cohen			Ken_Davitian			Luenell			Chester			128505958			18000000
141			Austin_Powers:_The_Spy_Who_Shagged_Me			Jay_Roach			6.6			1999			Mike_Myers			Heather_Graham			Michael_York			Robert_Wagner			25635589			33000000
142			Batman_Returns			Tim_Burton			7			1992			Michael_Keaton			Danny_DeVito			Michelle_Pfeiffer			Christopher_Walken			162831698			80000000
143			The_Virgin_Suicides			Sofia_Coppola			7.2			1999			Kirsten_Dunst			Josh_Hartnett			James_Woods			Kathleen_Turner			4859475			6000000
144			28_Days_Later...			Danny_Boyle			7.6			2002			Cillian_Murphy			Naomie_Harris			Christopher_Eccleston			Alex_Palmer			45063889			8000000
145			The_Life_Aquatic_with_Steve_Zissou			Wes_Anderson			7.3			2004			Bill_Murray			Owen_Wilson			Anjelica_Huston			Cate_Blanchett			24006726			50000000
146			Requiem_for_a_Dream			Darren_Aronofsky			8.4			2000			Ellen_Burstyn			Jared_Leto			Jennifer_Connelly			Marlon_Wayans			3609278			4500000
149			The_Rules_of_Attraction			Roger_Avary			6.8			2002			James_Van_Der_Beek			Ian_Somerhalder			Shannyn_Sossamon			Jessica_Biel			6532619			4000000
150			Zodiac			David_Fincher			7.7			2007			Jake_Gyllenhaal			Robert_Downey_Jr			Mark_Ruffalo			Anthony_Edwards			33080084			65000000
151			Hot_Fuzz			Edgar_Wright			7.9			2007			Simon_Pegg			Nick_Frost			Martin_Freeman			Bill_Nighy			20792585			8000000
152			O_Brother,_Where_Art_Thou?			Joel_Coen			7.8			2000			George_Clooney			John_Turturro			Tim_Blake_Nelson			John_Goodman			45506619			26000000
153			Braindead			Peter_Jackson			7.6			1992			Robert_Downey_Jr			Diana_Pe?alver			Elizabeth_Moody			Ian_Watkin			242623			3000000
154			Dumb_&_Dumber			Peter_Farrelly			7.3			1994			Jim_Carrey			Jeff_Daniels			Lauren_Holly			Mike_Starr			127175354			16000000
156			The_Bourne_Ultimatum			Paul_Greengrass			8.1			2007			Matt_Damon			dgar_Ram¨ªrez			Joan_Allen			Julia_Stiles			227137090			110000000
157			Shallow_Grave			Danny_Boyle			7.4			1994			Kerry_Fox			Christopher_Eccleston			Ewan_McGregor			Ken_Stott			2881508			2500000
158			From_Dusk_Till_Dawn			Robert_Rodriguez			7.3			1996			Harvey_Keitel			George_Clooney			Juliette_Lewis			Quentin_Tarantino			25753840			19000000
160			American_Pie			Paul_Weitz			7			1999			Jason_Biggs			Chris_Klein			Thomas_Ian_Nicholas			Alyson_Hannigan			101736215			11000000
161			Slumdog_Millionaire			Danny_Boyle			8			2008			Dev_Patel			Freida_Pinto			Saurabh_Shukla			Anil_Kapoor			141319195			15000000
163			Snatch.			Guy_Ritchie			8.3			2000			Jason_Statham			Brad_Pitt			Benicio_Del_Toro			Dennis_Farina			12137698			6000000
166			Three_Kings			David_O._Russell			7.2			1999			George_Clooney			Mark_Wahlberg			Ice_Cube			Spike_Jonze			60652036			48000000
167			In_Bruges			Martin_McDonagh			8			2008			Colin_Farrell			Brendan_Gleeson			Ciar¨¢n_Hinds			Elizabeth_Berrington			7757130			15000000
168			Toy_Story_3			Lee_Unkrich			8.4			2010			Tom_Hanks			Tim_Allen			Joan_Cusack			Ned_Beatty			414984497			200000000
169			Cloverfield			Matt_Reeves			7.1			2008			Mike_Vogel			Jessica_Lucas			Lizzy_Caplan			T.J._Miller			80034302			25000000
171			Quiz_Show			Robert_Redford			7.5			1994			Ralph_Fiennes			John_Turturro			Rob_Morrow			Paul_Scofield			24822619			25000000
172			Dalkomhan_insaeng			Kim_Jee-woon			7.7			2005			Jeong-min_Hwang			Yu-mi_Jeong			Ku_Jin			Hae-gon_Kim			7582393			5000000
173			The_Sixth_Sense			M._Night_Shyamalan			8.2			1999			Bruce_Willis			Haley_Joel_Osment			Toni_Collette			Olivia_Williams			293501675			40000000
175			Juno			Jason_Reitman			7.5			2007			Ellen_Page			Michael_Cera			Jennifer_Garner			Jason_Bateman			143492840			7500000
177			Kiss_Kiss_Bang_Bang			Shane_Black			7.6			2005			Robert_Downey_Jr			Val_Kilmer			Michelle_Monaghan			Corbin_Bernsen			4235837			15000000
178			Jackie_Brown			Quentin_Tarantino			7.5			1997			Pam_Grier			Samuel_L._Jackson			Robert_Forster			Bridget_Fonda			39647595			12000000
179			Sideways			Alexander_Payne			7.6			2004			Paul_Giamatti			Thomas_Haden_Church			Virginia_Madsen			Sandra_Oh			71502303			12000000
180			Edward_Scissorhands			Tim_Burton			8			1990			Johnny_Depp			Winona_Ryder			Dianne_Wiest			Anthony_Michael_Hall			56362352			20000000
181			The_Thin_Red_Line			Terrence_Malick			7.6			1998			Jim_Caviezel			Sean_Penn			Nick_Nolte			Elias_Koteas			36385763			52000000
182			Hotel_Rwanda			Terry_George			8.1			2004			Don_Cheadle			Sophie_Okonedo			Joaquin_Phoenix			Xolani_Mali			23472900			17500000
183			Sexy_Beast			Jonathan_Glazer			7.3			2000			Ray_Winstone			Ben_Kingsley			Ian_McShane			Amanda_Redman			6946056			5000000
184			Swingers			Doug_Liman			7.4			1996			Vince_Vaughn			Heather_Graham			Jon_Favreau			Ron_Livingston			4505922			200000
185			Le_fabuleux_destin_d'AmÃ©lie_Poulain			Jean-Pierre_Jeunet			8.4			2001			Audrey_Tautou			Mathieu_Kassovitz			Rufus			Lorella_Cravotta			33201661			50000000
186			MÃ¤n_som_hatar_kvinnor			Niels_Arden_Oplev			7.8			2009			Michael_Nyqvist			Noomi_Rapace			Ewa_Fr?ling			Lena_Endre			10095170			13000000
189			Inception			Christopher_Nolan			8.8			2010			Leonardo_DiCaprio			Joseph_Gordon-Levitt			Ellen_Page			Ken_Watanabe			292568851			160000000
191			Meet_the_Parents			Jay_Roach			7			2000			Ben_Stiller			Robert_De_Niro			Teri_Polo			Blythe_Danner			166244045			55000000
193			Catch_Me_If_You_Can			Steven_Spielberg			8			2002			Leonardo_DiCaprio			Tom_Hanks			Christopher_Walken			Martin_Sheen			164435221			52000000
195			Anchorman:_The_Legend_of_Ron_Burgundy			Adam_McKay			7.2			2004			Will_Ferrell			Christina_Applegate			Steve_Carell			Paul_Rudd			84136909			26000000
196			Happiness			Todd_Solondz			7.8			1998			Robert_Downey_Jr			Jon_Lovitz			Philip_Seymour_Hoffman			Dylan_Baker			2746453			3000000
197			Knocked_Up			Judd_Apatow			7			2007			Seth_Rogen			Katherine_Heigl			Paul_Rudd			Leslie_Mann			148734225			30000000
